Model,ModelSlug,ErrorType,Count,PercentOfWrong
LLaVA-Phi-3-mini,llava,empty_output,26,0.009587020648967551
LLaVA-Phi-3-mini,llava,metric_mismatch,321,0.11836283185840708
LLaVA-Phi-3-mini,llava,number_mismatch,198,0.07300884955752213
LLaVA-Phi-3-mini,llava,ocr_misread,1156,0.42625368731563423
LLaVA-Phi-3-mini,llava,partial_ocr_or_partial_answer,435,0.16039823008849557
LLaVA-Phi-3-mini,llava,reasoning_or_grounding_failure,575,0.21202064896755163
LLaVA-Phi-3-mini,llava,too_verbose_or_descriptive,1,0.0003687315634218289
Qwen2.5-VL-3B,qwen,empty_output,161,0.12196969696969696
Qwen2.5-VL-3B,qwen,metric_mismatch,388,0.29393939393939394
Qwen2.5-VL-3B,qwen,number_mismatch,55,0.041666666666666664
Qwen2.5-VL-3B,qwen,ocr_misread,359,0.271969696969697
Qwen2.5-VL-3B,qwen,partial_ocr_or_partial_answer,228,0.17272727272727273
Qwen2.5-VL-3B,qwen,reasoning_or_grounding_failure,129,0.09772727272727273
